trajectory_id,overlap_group_id,overlap_group_index,overlap_group_member_index,keyframe_count,duration_sec,start_score,end_score,score_gain,score_change,score_drop,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,maximum_pairwise_route_overlap_fraction,nearest_selected_start_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_1_1_true_gain2_no_backtrack_balanced_00260,,,,9,10.348398,4.175521,7.127104,2.951583,2.951583,,0.171745,0.449242,28.42223,22.071281,16.513239,1.336581,0,0.0,0.0,0,1.59682,0.54902,0.0,195.0,45.0,96.23172,703c0c6e01fe4167cade62dff7c6faa9346ace4c,a79e3be6a2dd06f3d3750e6d2b84b734339443a4
scene_1_1_true_gain2_no_backtrack_balanced_00261,,,,8,11.075557,4.779724,7.127104,2.34738,2.34738,,0.1035,0.449242,29.558883,24.366225,20.844112,1.168974,0,0.0,0.0,0,1.716606,0.520833,0.0,165.0,45.0,99.570974,f2444d9a27ce16f21bba0081221ce1e0fe23a33c,85e29d8fafd29b9f29811e819f45d4a7a2fd3dc6
scene_1_1_true_gain2_no_backtrack_balanced_00262,,,,9,10.982724,4.410664,7.127104,2.716441,2.716441,,0.171745,0.449242,30.126518,24.059299,20.728331,1.160696,0,0.0,0.0,0,1.59682,0.571429,0.0,165.0,45.0,96.23172,964becd55a660de0ade1ce483cbadc6c64ae6240,7ed46b74cfc28203f4dd5ec1ebec66d9bafb64cc
scene_1_1_true_gain2_no_backtrack_balanced_00263,,,,8,17.433094,5.085384,7.127104,2.04172,2.04172,,0.139342,0.449665,40.960878,38.352806,37.068651,1.034643,0,0.0,0.0,0,10.42145,0.546667,0.0,180.0,0.0,20.187286,6728e5b65f6a94be2e7dcf80023873513147a4ed,69c7e006c397122ab38997b464661978014cc010
scene_1_1_true_gain2_no_backtrack_balanced_00264,,,,10,12.945576,3.961522,7.127104,3.165582,3.165582,,0.171745,0.449242,33.58153,26.682834,22.017652,1.211884,0,0.0,0.0,0,1.59682,0.527273,0.0,165.0,45.0,97.56467,47d35d0130e6ad2462907ba3c1998bc4021ccd18,f06769f78e2cbc1588ccc4b89fb754e5f9e62d7b
scene_1_1_true_gain2_no_backtrack_balanced_00265,,,,9,10.050329,4.589569,7.127104,2.537535,2.537535,,0.160341,0.449242,24.219317,18.828224,12.857197,1.464411,1,0.062873,0.062873,0,1.716606,0.581395,0.0,135.0,45.0,99.570974,3910bf429e1176edce33f6b3935769de4017e55d,543a0f56b3cc7f2496d679a5e47f3bc1e45cc4d4
scene_1_1_true_gain2_no_backtrack_balanced_00266,,,,11,12.762634,4.022867,7.127104,3.104238,3.104238,,0.15406,0.449242,32.805759,26.872795,21.029772,1.277845,0,0.0,0.0,0,1.716606,0.591837,0.0,105.0,45.0,99.570974,b280fcb43e604ee4da8af5f7e161928f95c2bde3,1bd7d9b62055f880010800bb672e34d7dcf6e6cc
scene_1_1_true_gain2_no_backtrack_balanced_00267,,,,9,17.647407,4.339237,7.127104,2.787867,2.787867,,0.107812,0.449242,42.028389,38.824296,36.490536,1.063955,0,0.0,0.0,0,5.323754,0.558442,0.0,135.0,0.0,97.055393,c24649716804f6543e6e5a8a4d5b2eba949734d9,ff512e0b3456007d5b2de4fc624a79427c72ac05
scene_1_1_true_gain2_no_backtrack_balanced_00268,,,,8,11.19443,4.808708,7.127104,2.318396,2.318396,,0.153105,0.449242,28.100108,24.627746,21.4839,1.146335,0,0.0,0.0,0,1.716606,0.55,0.0,45.0,45.0,99.570974,4921b508516931da9d226a0bc817a11c1530b365,002f8de92181cc5ba430cd7cd573884eba9a9fb4
scene_1_1_true_gain2_no_backtrack_balanced_00269,,,,10,13.349943,4.237119,7.127104,2.889985,2.889985,,0.163375,0.449242,35.359554,29.267179,26.165468,1.118542,0,0.0,0.0,0,1.59682,0.571429,0.0,195.0,45.0,96.23172,1c604a7617ffa209ddc54cc13dcb5997eea87aca,65a7523b35644aae5f765f45441ee5d1924dbf2d
