trajectory_id,overlap_group_id,overlap_group_index,overlap_group_member_index,keyframe_count,duration_sec,start_score,end_score,score_gain,score_change,score_drop,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,maximum_pairwise_route_overlap_fraction,nearest_selected_start_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_1_1_true_gain2_no_backtrack_balanced_02474,,,,8,9.994803,4.561224,7.127104,2.565881,2.565881,,0.171745,0.449242,27.524861,21.885872,16.166909,1.353745,0,0.0,0.0,0,1.59682,,,135.0,45.0,98.794959,88071f97ba41f13f71e10f6b0802407841f9f899,0efdaf18d78570489fc964d31544af315219b345
scene_1_1_true_gain2_no_backtrack_balanced_02475,,,,9,17.355781,5.033398,7.127104,2.093707,2.093707,,0.074443,0.386067,42.028645,38.182717,36.34457,1.050576,0,0.0,0.0,0,6.346771,,,195.0,45.0,36.050419,0a44d55610a7363e6d53fd32b1d97e3bea47898d,6d20d49ed633cd1d1af46e496c14d46ec1447706
scene_1_1_true_gain2_no_backtrack_balanced_02476,,,,11,13.547526,4.057682,7.127104,3.069422,3.069422,,0.171745,0.449242,32.970244,23.272701,16.017354,1.452968,1,0.151916,0.151916,0,1.59682,,,225.0,135.0,96.23172,d3b8718daa57efdb38a6904a32d618f0aafa4e88,3d672c61b0ad576b62665b059ea472b25d4d4538
scene_1_1_true_gain2_no_backtrack_balanced_02477,,,,10,11.709879,4.144718,7.127104,2.982386,2.982386,,0.096632,0.449242,28.882431,21.702737,15.63127,1.388418,2,0.091125,0.091125,0,1.716515,,,165.0,45.0,99.570974,71321f1a5da866188255e940d1e7838be85a45e9,9df7f34d854bcc3645b4e9bf9b1421710b3cc0c1
scene_1_1_true_gain2_no_backtrack_balanced_02478,,,,8,17.438841,5.02845,7.127104,2.098654,2.098654,,0.106108,0.442411,41.016115,38.365451,36.256404,1.05817,0,0.0,0.0,0,10.345,,,135.0,0.0,36.050419,48460faff6c44d817351a263d024578b83976752,9f2cb7bf509072ce43f256899266e22fefd482ff
scene_1_1_true_gain2_no_backtrack_balanced_02479,,,,7,11.756798,4.795184,7.127104,2.33192,2.33192,,0.326511,0.4347,29.005127,25.660794,22.017652,1.165465,0,0.0,0.0,0,3.973427,,,105.0,45.0,90.0,83398a42da5a6ef3295031c763540128fd95f8f9,f779fe0dcc5c7053d74a272b529b6a5bc9cc6609
scene_1_1_true_gain2_no_backtrack_balanced_02480,,,,11,14.128729,3.776269,7.127104,3.350835,3.350835,,0.171745,0.449242,37.596343,30.98051,26.966325,1.148859,0,0.0,0.0,0,1.59682,,,165.0,45.0,96.23172,d87abf5e8b56b87a51c794ecb0696089fbd8026d,ae4a5a81d97738486db43189947008a47b83d7d9
scene_1_1_true_gain2_no_backtrack_balanced_02481,,,,9,10.483755,4.461812,7.127104,2.665292,2.665292,,0.098701,0.449242,27.473666,21.300003,15.5175,1.372644,1,0.204895,0.204895,0,1.716515,,,105.0,45.0,99.570974,1b776afd8e2df486db86907d0a8fc95d93e2d9a4,5f6e260a27c0e09c7839e2d073f4e6005f22a120
scene_1_1_true_gain2_no_backtrack_balanced_02482,,,,9,16.848646,4.114046,7.127104,3.013058,3.013058,,0.238629,0.449242,39.774829,35.027021,32.035496,1.093382,1,0.03698,0.03698,0,5.323754,,,105.0,45.0,97.055393,7cc6c06ced9e8ab5ecf54777e64106d7a3628862,9fa62efadb0b2be54b978d83412dbf7b8f970568
scene_1_1_true_gain2_no_backtrack_balanced_02483,,,,8,15.197105,4.700726,7.127104,2.426379,2.426379,,0.261063,0.400701,36.858305,33.43363,31.092041,1.075312,0,0.0,0.0,0,2.593146,,,225.0,0.0,33.157246,8cb98cdb286abc86eebbfc180030d972509d2034,e986b332d2a7453c5ef55fba92850eee7079b515
