trajectory_id,num_keyframes,duration_sec,start_raw_score,end_raw_score,endpoint_node_id,endpoint_dataset_id,endpoint_sample_index,endpoint_point_index,path_xyz_length,net_xyz_distance,max_xyz_step,mean_xyz_step,total_yaw_change,max_yaw_step,total_pitch_change,max_pitch_step,max_abs_score_step,physical_path_signature
scene_1_1_traj_00013,80,15.8,7.127104,4.038572,scene_1|scene_1.1_y04_medium_dense_y04_4p39|7102|8,scene_1.1_y04_medium_dense_y04_4p39,7102,8,46.621199,46.621199,0.590143,0.590142,45.0,0.569621,45.0,0.569621,0.121117,9a4b257fc01acb62d47e1e3a93517017e267842b
scene_1_1_traj_00014,80,15.8,7.127104,3.095844,scene_1|scene_1.1_y02_medium_dense_y02_1p86|4332|92,scene_1.1_y02_medium_dense_y02_1p86,4332,92,47.157567,47.157567,0.596932,0.596931,165.0,2.088608,45.0,0.569621,0.158086,7cc36accb5cb2dd3fea2c35895f50fdb128ca0d5
scene_1_1_traj_00015,80,15.8,7.127104,3.863337,scene_1|scene_1.1_y04_medium_dense_y04_4p39|9012|95,scene_1.1_y04_medium_dense_y04_4p39,9012,95,32.035496,32.035496,0.405514,0.405513,165.0,2.088608,45.0,0.569621,0.127989,61182ffb94c7fc898adbd03bce0a804304d05398
scene_1_1_traj_00016,80,15.8,7.127104,2.941789,scene_1|scene_1.1_y01_medium_dense_y01_0p60|239|11,scene_1.1_y01_medium_dense_y01_0p60,239,11,31.060567,31.060567,0.393173,0.393172,105.0,1.329114,45.0,0.569621,0.164127,73651cc18bf7d4350a6e5d086c4d951299046c69
scene_1_1_traj_00017,80,15.8,7.127104,3.256454,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8030|50,scene_1.1_y04_medium_dense_y04_4p39,8030,50,46.772977,46.772977,0.592064,0.592063,135.0,1.708861,90.0,1.139241,0.151788,a4198a7e1fb3c387107212f4a6335da4c510028e
scene_1_1_traj_00018,80,15.8,7.127104,2.289473,scene_1|scene_1.1_y01_medium_dense_y01_0p60|1099|50,scene_1.1_y01_medium_dense_y01_0p60,1099,50,46.721495,46.721495,0.591412,0.591411,135.0,1.708861,90.0,1.139241,0.189708,217585ba310fb708ac43633831ca8e672a2221b0
scene_1_1_traj_00019,80,15.8,7.127104,3.0018,scene_1|scene_1.1_y01_medium_dense_y01_0p60|171|8,scene_1.1_y01_medium_dense_y01_0p60,171,8,46.569549,46.569549,0.589489,0.589488,15.0,0.189874,45.0,0.569621,0.161774,981d479d965dfdd44bda7866e07b5d74247a2076
scene_1_1_traj_00020,80,15.8,7.127104,4.435776,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8938|92,scene_1.1_y04_medium_dense_y04_4p39,8938,92,47.225386,47.225386,0.597791,0.59779,90.0,1.139241,0.0,0.0,0.10554,6775e476d358b5a71691f2ba264e61dfeb489d2f
scene_1_1_traj_00021,80,15.8,7.127104,5.750193,scene_1|scene_1.1_y01_medium_dense_y01_0p60|1079|50,scene_1.1_y01_medium_dense_y01_0p60,1079,50,46.721495,46.721495,0.591412,0.591411,135.0,1.708861,0.0,0.0,0.053995,780d75d021cf585ff2292915553940f2967469c9
scene_1_1_traj_00022,80,15.8,7.127104,3.186707,scene_1|scene_1.1_y01_medium_dense_y01_0p60|173|8,scene_1.1_y01_medium_dense_y01_0p60,173,8,46.569549,46.569549,0.589489,0.589488,105.0,1.329114,45.0,0.569621,0.154523,8fd99a4e130f33c86d02af0c553ec748d7099180
scene_1_1_traj_00023,80,15.8,7.127104,3.829777,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8018|50,scene_1.1_y04_medium_dense_y04_4p39,8018,50,46.772977,46.772977,0.592064,0.592063,75.0,0.949368,45.0,0.569621,0.129305,8670755fe885ce36687b58c4241d3956a01be934
scene_1_1_traj_00024,80,15.8,7.127104,3.688097,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8946|92,scene_1.1_y04_medium_dense_y04_4p39,8946,92,47.225386,47.225386,0.597791,0.59779,165.0,2.088608,45.0,0.569621,0.134861,e7b232a28baebf34e8b85fe8255cecb6057abdd0
scene_1_1_traj_00025,80,15.8,7.127104,5.800926,scene_1|scene_1.1_y01_medium_dense_y01_0p60|446|21,scene_1.1_y01_medium_dense_y01_0p60,446,21,20.728331,20.728331,0.262384,0.262384,90.0,1.139241,0.0,0.0,0.052006,419325662f31b715ba8e0bdcdffee9ad646da271
scene_1_1_traj_00026,80,15.8,7.127104,3.820549,scene_1|scene_1.1_y01_medium_dense_y01_0p60|167|8,scene_1.1_y01_medium_dense_y01_0p60,167,8,46.569549,46.569549,0.589489,0.589488,105.0,1.329114,45.0,0.569621,0.129667,2be8c1dfdd318bc253f580b23374e21b27f3314c
scene_1_1_traj_00027,80,15.8,7.127104,4.526877,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2013|92,scene_1.1_y01_medium_dense_y01_0p60,2013,92,47.174397,47.174397,0.597145,0.597144,15.0,0.189874,45.0,0.569621,0.101968,fdcfad51b2a06d7d4ada924cd95d5cf109150bcd
scene_1_1_traj_00028,80,15.8,7.127104,2.763468,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2018|92,scene_1.1_y01_medium_dense_y01_0p60,2018,92,47.174397,47.174397,0.597145,0.597144,75.0,0.949368,45.0,0.569621,0.17112,c65fa46745f6052d024470bea214a406bb0ca665
scene_1_1_traj_00029,80,15.8,7.127104,3.013196,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2068|94,scene_1.1_y01_medium_dense_y01_0p60,2068,94,37.003669,37.003669,0.468401,0.468401,135.0,1.708861,90.0,1.139241,0.161327,f3d0c08643c6098db5404ac8fa4a6ec6092a94b6
scene_1_1_traj_00030,80,15.8,7.127104,2.412693,scene_1|scene_1.1_y04_medium_dense_y04_4p39|7149|10,scene_1.1_y04_medium_dense_y04_4p39,7149,10,36.295784,36.295784,0.459441,0.45944,135.0,1.708861,90.0,1.139241,0.184876,0797d92ff8ed9d0b6bc134ede2305fe870489f22
scene_1_1_traj_00031,80,15.8,7.127104,5.069326,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8933|92,scene_1.1_y04_medium_dense_y04_4p39,8933,92,47.225386,47.225386,0.597791,0.59779,135.0,1.708861,0.0,0.0,0.080696,2fda7ea71e71f915e1c4db6b85974b1415fbd86e
scene_1_1_traj_00032,80,15.8,7.127104,4.839584,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4789|8,scene_1.1_y03_medium_dense_y03_3p13,4789,8,46.56982,46.56982,0.589492,0.589491,135.0,1.708861,45.0,0.569621,0.089705,071da08a73d36fd54219887e36284a442847fdde
scene_1_1_traj_00033,80,15.8,7.127104,5.30612,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8012|50,scene_1.1_y04_medium_dense_y04_4p39,8012,50,46.772977,46.772977,0.592064,0.592063,0.0,0.0,0.0,0.0,0.07141,b4b49a4dc95091883f4828c92d2017c4fd6533c2
scene_1_1_traj_00034,80,15.8,7.127104,4.912722,scene_1|scene_1.1_y04_medium_dense_y04_4p39|9015|95,scene_1.1_y04_medium_dense_y04_4p39,9015,95,32.035496,32.035496,0.405514,0.405513,15.0,0.189874,45.0,0.569621,0.086837,bae29a48e073381f194805df1a2826017dba7881
