trajectory_id,max_mid_nearest_legal_xyz_dist,mean_mid_nearest_legal_xyz_dist,p95_mid_nearest_legal_xyz_dist,max_any_nearest_legal_xyz_dist,mid_keyframe_frac_gt_0.5m,mid_keyframe_frac_gt_1m,mid_keyframe_frac_gt_1.5m,mid_keyframe_frac_gt_2m,mid_keyframe_frac_gt_2.5m,risk_label
scene_1_1_traj_00001,2.6241471713419533,1.514842998840002,2.5745391434585,2.6241471713419533,0.9743589743589743,0.7435897435897436,0.5128205128205128,0.28205128205128205,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_00002,2.5775084143732707,1.3844996019534226,2.476127175278865,2.5775084143732707,0.8717948717948718,0.6410256410256411,0.4358974358974359,0.23076923076923078,0.02564102564102564,very_high_proxy_risk
scene_1_1_traj_00003,2.601860939783104,1.5134326087698013,2.5794576818428148,2.601860939783104,0.9487179487179487,0.717948717948718,0.46153846153846156,0.3076923076923077,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_00004,2.7361750980891277,1.4706433934823346,2.6101118788073334,2.7361750980891277,0.9230769230769231,0.6666666666666666,0.48717948717948717,0.28205128205128205,0.10256410256410256,very_high_proxy_risk
scene_1_1_traj_00005,2.7361750980891277,1.4706433934823346,2.6101118788073334,2.7361750980891277,0.9230769230769231,0.6666666666666666,0.48717948717948717,0.28205128205128205,0.10256410256410256,very_high_proxy_risk
scene_1_1_traj_00006,2.736175098089128,1.4706433934823346,2.6101118788073476,2.736175098089128,0.9230769230769231,0.6666666666666666,0.48717948717948717,0.28205128205128205,0.10256410256410256,very_high_proxy_risk
scene_1_1_traj_00007,2.558489198180256,1.3864427434495472,2.476418626682041,2.558489198180256,0.8974358974358975,0.6666666666666666,0.46153846153846156,0.2564102564102564,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_00008,2.615368889357288,1.3845759066565488,2.4510110089877153,2.615368889357288,0.9230769230769231,0.6923076923076923,0.46153846153846156,0.2564102564102564,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_00009,2.5775084143732707,1.3844996019534226,2.476127175278865,2.5775084143732707,0.8717948717948718,0.6410256410256411,0.4358974358974359,0.23076923076923078,0.02564102564102564,very_high_proxy_risk
scene_1_1_traj_00010,2.6241471713419533,1.514842998840002,2.5745391434585,2.6241471713419533,0.9743589743589743,0.7435897435897436,0.5128205128205128,0.28205128205128205,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_00011,2.601860939783104,1.5134326087698013,2.5794576818428148,2.601860939783104,0.9487179487179487,0.717948717948718,0.46153846153846156,0.3076923076923077,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_00012,2.615368889357288,1.3845759066565488,2.4510110089877153,2.615368889357288,0.9230769230769231,0.6923076923076923,0.46153846153846156,0.2564102564102564,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_00013,2.615368889357288,1.3845759066565488,2.4510110089877153,2.615368889357288,0.9230769230769231,0.6923076923076923,0.46153846153846156,0.2564102564102564,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_00014,2.56987910891544,1.4558974154115378,2.5556587307098217,2.56987910891544,0.9230769230769231,0.6666666666666666,0.46153846153846156,0.2564102564102564,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_00015,2.6362319387039856,1.5065988365072667,2.528950205668676,2.6362319387039856,0.9487179487179487,0.717948717948718,0.48717948717948717,0.28205128205128205,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_00016,2.6071921404856315,1.3854959740194857,2.4376246009424176,2.6071921404856315,0.8717948717948718,0.6410256410256411,0.46153846153846156,0.23076923076923078,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_00017,2.7451306198028127,1.506484224867335,2.4906638714103573,2.7451306198028127,0.9743589743589743,0.7692307692307693,0.48717948717948717,0.28205128205128205,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_00018,2.709084221379249,1.514126552179139,2.5155066198222813,2.709084221379249,0.9743589743589743,0.717948717948718,0.48717948717948717,0.2564102564102564,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_00019,2.5775084143732707,1.3844996019534226,2.476127175278865,2.5775084143732707,0.8717948717948718,0.6410256410256411,0.4358974358974359,0.23076923076923078,0.02564102564102564,very_high_proxy_risk
scene_1_1_traj_00020,2.6241471713419533,1.514842998840002,2.5745391434585,2.6241471713419533,0.9743589743589743,0.7435897435897436,0.5128205128205128,0.28205128205128205,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_00021,2.709084221379249,1.514126552179139,2.5155066198222813,2.709084221379249,0.9743589743589743,0.717948717948718,0.48717948717948717,0.2564102564102564,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_00022,2.5775084143732707,1.3844996019534226,2.476127175278865,2.5775084143732707,0.8717948717948718,0.6410256410256411,0.4358974358974359,0.23076923076923078,0.02564102564102564,very_high_proxy_risk
scene_1_1_traj_00023,2.7451306198028127,1.506484224867335,2.4906638714103573,2.7451306198028127,0.9743589743589743,0.7692307692307693,0.48717948717948717,0.28205128205128205,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_00024,2.6241471713419533,1.514842998840002,2.5745391434585,2.6241471713419533,0.9743589743589743,0.7435897435897436,0.5128205128205128,0.28205128205128205,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_00025,2.558489198180256,1.3864427434495463,2.476418626682041,2.558489198180256,0.8974358974358975,0.6666666666666666,0.46153846153846156,0.2564102564102564,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_00026,2.5775084143732707,1.3844996019534226,2.476127175278865,2.5775084143732707,0.8717948717948718,0.6410256410256411,0.4358974358974359,0.23076923076923078,0.02564102564102564,very_high_proxy_risk
scene_1_1_traj_00027,2.601860939783104,1.5134326087698013,2.5794576818428148,2.601860939783104,0.9487179487179487,0.717948717948718,0.46153846153846156,0.3076923076923077,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_00028,2.601860939783104,1.5134326087698013,2.5794576818428148,2.601860939783104,0.9487179487179487,0.717948717948718,0.46153846153846156,0.3076923076923077,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_00029,2.6472877052728987,1.5131981564254497,2.5045243073270695,2.6472877052728987,0.9487179487179487,0.717948717948718,0.48717948717948717,0.28205128205128205,0.05128205128205128,very_high_proxy_risk
