trajectory_id,source_trajectory_id,target_anchor_rank,keyframe_count,duration_sec,start_score,end_score,score_gain,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_1_2_true_gain2_distance10_00001,scene_1_2_true_gain2_no_backtrack_balanced_00001,1,7,7.12942,4.967347,7.062562,2.095215,0.188437,0.418453,17.164703,15.684723,15.555237,1.008324,0,0.0,0.0,0,2.58129,60.0,45.0,15.158546,74e6a566d98569c8e39c1a611e41065613408697,1a1a7c80b57a0a2c62f3f3d756a9cc25372b114f
scene_1_2_true_gain2_distance10_00002,scene_1_2_true_gain2_no_backtrack_balanced_00002,1,7,6.966447,4.810363,7.062562,2.252199,0.324274,0.421791,16.673174,14.26211,12.945412,1.101712,0,0.0,0.0,0,2.64404,30.0,45.0,53.263573,96753a3203f14a481723a455e4dd933ba9411c5a,496254c218afe050c25309879f8e2f5f3b4d1219
scene_1_2_true_gain2_distance10_00003,scene_1_2_true_gain2_no_backtrack_balanced_00003,1,7,6.575349,4.866153,7.062562,2.19641,0.256704,0.433379,16.424633,14.116509,13.175697,1.071405,0,0.0,0.0,0,2.100798,45.0,0.0,98.33499,655301ae823752c83b3569c2d1d1e0acd8af6ee4,4dc49ebbd936e585a2859330d875b00a49ebebaf
scene_1_2_true_gain2_distance10_00004,scene_1_2_true_gain2_no_backtrack_balanced_00004,1,7,6.375974,5.050694,7.062562,2.011868,0.157656,0.437037,15.742078,14.027143,12.906452,1.086832,1,0.029966,0.029966,0,2.769525,45.0,0.0,90.0,f00486a0735eacc9bced81744f1025cd4ad78ee4,7aaf0c89f4c525448aaf2b06cf364116d419f2f8
scene_1_2_true_gain2_distance10_00005,scene_1_2_true_gain2_no_backtrack_balanced_00005,1,7,6.341319,4.819676,7.062562,2.242887,0.316588,0.438961,15.877119,13.950903,13.027256,1.070901,0,0.0,0.0,0,2.755773,45.0,0.0,42.694011,f4056eb05847877bf91ccb1ec2ce4c34da8b2cad,ecc3a18b0450ebb5c10cb16abd5f887b31164a16
scene_1_2_true_gain2_distance10_00006,scene_1_2_true_gain2_no_backtrack_balanced_00006,1,7,7.481959,4.994314,7.062562,2.068249,0.247845,0.423962,17.916196,16.460311,15.495256,1.062281,0,0.0,0.0,0,3.223036,45.0,0.0,60.717771,4c0cb991fd562833bf3bfa268ecf644d353d3859,fd5727b986ff2ac0b277cffa5ab57fe1b2ba8118
scene_1_2_true_gain2_distance10_00007,scene_1_2_true_gain2_no_backtrack_balanced_00007,1,6,6.343337,5.051514,7.062562,2.011048,0.354107,0.447066,15.5178,13.955341,13.017148,1.072074,0,0.0,0.0,0,3.223036,45.0,0.0,60.717771,75d28c638cf9fa324047be47be37457c33dcf63c,1af9f5129989180312ddb0b65921a142f17727bf
scene_1_2_true_gain2_distance10_00008,scene_1_2_true_gain2_no_backtrack_balanced_00008,1,8,7.806844,4.82084,7.062562,2.241722,0.188437,0.438123,18.372522,15.970831,15.495256,1.030692,0,0.0,0.0,0,2.58129,90.0,45.0,40.995914,ea462dea819bc80893b829f444ff10d1ed63eda8,411eb0836baf4407873ae8243f16cfab8d6a6e78
scene_1_2_true_gain2_distance10_00009,scene_1_2_true_gain2_no_backtrack_balanced_00009,1,8,7.427692,4.467089,7.062562,2.595474,0.336326,0.437309,17.394617,13.8207,13.107427,1.054417,0,0.0,0.0,0,2.645471,78.0,45.0,96.635009,c21b07d349e1a8c3f43b57df605ae1ef043de5ed,42b4c3e2e0a9fca892bec00ce264ec2b58b632f0
scene_1_2_true_gain2_distance10_00010,scene_1_2_true_gain2_no_backtrack_balanced_00010,1,7,6.625694,4.810362,7.062562,2.252201,0.317969,0.437309,15.911303,13.603345,13.027256,1.044222,0,0.0,0.0,0,2.100798,72.0,0.0,98.33499,90105eb20c5f8075feca3d244ede5780c6b0ab03,e3440ced1a581018437207302df1b5102acb66ef
