trajectory_id,source_trajectory_id,target_anchor_rank,keyframe_count,duration_sec,start_score,end_score,score_gain,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_1_3_true_gain2_distance10_01504,scene_1_3_true_gain2_no_backtrack_balanced_01504,1,9,17.937854,4.572392,6.702875,2.130484,0.072796,0.395643,45.167038,39.463279,27.425307,1.438937,0,0.0,0.0,0,5.131975,139.5,20.0,90.0,3173ef5fe909886d243dbca974ecac4d911f52b0,d855150a9f00184b4379b8e25f97116bfc401aa6
scene_1_3_true_gain2_distance10_01505,scene_1_3_true_gain2_no_backtrack_balanced_01505,1,9,17.72658,4.572392,6.702875,2.130484,0.056004,0.449628,45.167354,38.998477,27.425307,1.421989,0,0.0,0.0,0,6.198504,166.5,0.0,95.694382,5afa793de6689023c828334ebdfe1b4231e55656,ea64a2055c9d37bb99d29ad0a90d20d973711266
scene_1_3_true_gain2_distance10_01506,scene_1_3_true_gain2_no_backtrack_balanced_01506,1,10,17.574369,4.572392,6.702875,2.130484,0.08008,0.449628,45.16783,38.663612,27.425307,1.409779,0,0.0,0.0,0,3.053976,87.5,0.0,95.694382,cec739093b6b7bf9fed66fc5e2f143ac9d96ba5f,12bc54d844108832fb91af3082db68aa6b281064
scene_1_3_true_gain2_distance10_01507,scene_1_3_true_gain2_no_backtrack_balanced_01507,1,9,17.988959,4.572392,6.702875,2.130484,0.053481,0.382766,45.169219,39.575709,27.425307,1.443036,0,0.0,0.0,0,6.63113,139.5,0.0,90.0,602ef01d47a7fa89ef314ee4b2d189bc4e588f95,1b5a260ba2cf216e9f963764e954f9e4c65dc2b6
scene_1_3_true_gain2_distance10_01508,scene_1_3_true_gain2_no_backtrack_balanced_01508,1,9,17.69788,4.572392,6.702875,2.130484,0.076895,0.449628,45.171177,38.935337,27.425307,1.419686,0,0.0,0.0,0,6.63113,112.5,0.0,95.694382,2a1885af5fb2532986a7d6e5a9b3566cbde1253c,5e04559f1ed0e1bfd3032d5daf7651811f99a793
scene_1_3_true_gain2_distance10_01509,scene_1_3_true_gain2_no_backtrack_balanced_01509,1,10,18.02002,4.572392,6.702875,2.130484,0.052124,0.419231,45.171634,39.439957,27.425307,1.438086,0,0.0,0.0,0,3.72774,157.5,0.0,90.0,42c75055d795b39cf97baae7efb7c2bef0f4caba,ccba65f9d18705c83c3d389039f9324c9712b8a5
scene_1_3_true_gain2_distance10_01510,scene_1_3_true_gain2_no_backtrack_balanced_01510,1,9,18.004124,4.572392,6.702875,2.130484,0.057379,0.443924,45.171707,39.404986,27.425307,1.436811,0,0.0,0.0,0,6.63113,139.5,0.0,90.0,d4b6e05ae5da00987dc4394339b10ce4b3e071fe,cb47bacd7ae60ffba20137bd3f41101cd2ad1e7a
scene_1_3_true_gain2_distance10_01511,scene_1_3_true_gain2_no_backtrack_balanced_01511,1,9,17.910231,4.572392,6.702875,2.130484,0.077611,0.449628,45.173298,39.402508,27.425307,1.436721,0,0.0,0.0,0,5.876097,139.5,0.0,90.0,0839332ec87d76a02c98792c668ecc30a8a38c7a,2fee18a5916a96f00086f51744e7ebfce898a81f
scene_1_3_true_gain2_distance10_01512,scene_1_3_true_gain2_no_backtrack_balanced_01512,1,9,17.808262,4.572392,6.702875,2.130484,0.098488,0.444246,45.173597,39.178176,27.425307,1.428541,0,0.0,0.0,0,5.389869,132.5,0.0,90.0,fbb1a6add71250b283017cb5536f4c87b9e91de6,9a31c298e1a3f87a0a1b42d4da50b31ed928fe46
scene_1_3_true_gain2_distance10_01513,scene_1_3_true_gain2_no_backtrack_balanced_01513,1,10,17.682057,4.572392,6.702875,2.130484,0.060294,0.419231,45.173625,38.696439,27.425307,1.410976,0,0.0,0.0,0,3.696557,139.5,0.0,90.0,2a6e1c451012a2a660be99812882f489be2c9519,3e0441598f598dda9284eaf0021b5561fa96d19b
scene_1_3_true_gain2_distance10_01514,scene_1_3_true_gain2_no_backtrack_balanced_01514,1,10,17.790531,4.572392,6.702875,2.130484,0.099839,0.449628,45.174739,39.139168,27.425307,1.427119,0,0.0,0.0,0,5.389869,130.5,0.0,90.0,8c741d051adcee495d1b9e11fae0e950d6f87120,86aab22927751ac6a8de7b54e57205bbea03b7af
scene_1_3_true_gain2_distance10_01515,scene_1_3_true_gain2_no_backtrack_balanced_01515,1,9,18.084245,4.572392,6.702875,2.130484,0.056559,0.449628,45.17541,39.78534,27.425307,1.45068,0,0.0,0.0,0,6.63113,112.5,0.0,90.0,251370073ade1b87e89327ba12b950409f72e67b,2cfc6a5f35313a9e158e56c65fe08c53efeca690
scene_1_3_true_gain2_distance10_01516,scene_1_3_true_gain2_no_backtrack_balanced_01516,1,8,18.115013,4.572392,6.702875,2.130484,0.081663,0.449628,45.175583,39.853028,27.425307,1.453148,0,0.0,0.0,0,6.63113,139.5,0.0,90.0,09d508fab507d21a22b0a42c1c14364c307303f2,df67d0150adbaafb2d87bdb46fb444369034c491
scene_1_3_true_gain2_distance10_01517,scene_1_3_true_gain2_no_backtrack_balanced_01517,1,9,17.990428,4.572392,6.702875,2.130484,0.052124,0.394908,45.175716,39.578942,27.425307,1.443154,0,0.0,0.0,0,4.246348,132.5,0.0,90.0,8c5c9b5083a08423d6cd804d8d0d6060d8ce5efb,7e0778084291be94dfcd0ecbd9614ead02c3a547
scene_1_3_true_gain2_distance10_01518,scene_1_3_true_gain2_no_backtrack_balanced_01518,1,9,17.802817,4.572392,6.702875,2.130484,0.118509,0.419231,45.176259,38.96211,27.425307,1.420663,0,0.0,0.0,0,6.63113,166.5,0.0,92.880111,7d6abd312ebca37fb87c38c2bf9699f13e812b03,9d64dd8a707106248c27974351300511aa28fdf8
scene_1_3_true_gain2_distance10_01519,scene_1_3_true_gain2_no_backtrack_balanced_01519,1,10,17.77308,4.572392,6.702875,2.130484,0.055896,0.419231,45.176701,38.717487,27.425307,1.411743,0,0.0,0.0,0,3.366882,175.5,0.0,90.0,c09d6a5f327e0bbf6ad0f17cfaffef4f0a138fff,252cb06f68cfabe8f29d62b0dcf9fcd01e30efd1
scene_1_3_true_gain2_distance10_01520,scene_1_3_true_gain2_no_backtrack_balanced_01520,1,9,17.959057,4.572392,6.702875,2.130484,0.057211,0.449628,45.177552,39.509925,27.425307,1.440637,0,0.0,0.0,0,6.41421,94.5,0.0,98.017077,58a562a5b86562ba394be37f9fe3d462374503ac,331f64260ea472e76b7ab3a7aaceda1785c2700b
scene_1_3_true_gain2_distance10_01521,scene_1_3_true_gain2_no_backtrack_balanced_01521,1,10,18.008853,4.572392,6.702875,2.130484,0.102771,0.419231,45.178844,39.41539,27.425307,1.43719,0,0.0,0.0,0,3.72774,139.5,0.0,90.0,fb18ede5b7a943f98e99a4d760d262b6f615fe6c,f183179a3a9023d874ff8fdb4076fb2a9f18933f
