index,timestamp_sec,x,y,z,yaw,pitch,fov
1,8621.388000,-3.124358000,6.910953422,30.872187956,15.624395220,-0.344999990,160.000000000
2,8625.915000,-3.610823018,5.486591567,39.050742938,15.675395220,-0.161999988,160.000000000
3,8634.898000,-3.610823018,11.936591824,39.050742938,12.543395193,-0.083999988,160.000000000
4,8638.354000,-3.451148540,11.351380661,32.102170363,12.543395193,-0.083999988,160.000000000
5,8643.237000,3.808020432,10.897176623,32.209897867,10.989395180,-0.062999988,160.000000000
6,8647.974000,3.808020432,6.772176459,32.209897867,12.516395193,-0.248999989,160.000000000
7,8652.518000,3.772644947,5.955729613,38.907039053,9.414395166,-0.101999988,160.000000000
8,8658.583000,3.772644947,9.780729765,38.907039053,6.222395138,-0.032999987,160.000000000
9,8679.214000,-4.190320572,5.865320581,36.920186480,6.108395137,-0.017999987,160.000000000
10,8689.808000,-3.558486890,3.295129528,37.416617959,4.626395124,-0.119999988,160.000000000
11,8694.074000,3.257168457,3.050738009,37.345713804,4.713395125,-0.116999988,160.000000000
12,8700.262000,3.257168457,6.425738143,37.345713804,6.042395137,-0.107999988,160.000000000
13,8703.288000,3.507591804,5.705325487,39.700106117,3.243395112,-0.290999989,160.000000000
14,8706.873000,3.507591804,3.305325391,39.700106117,3.024395110,-0.929999995,160.000000000
15,8711.735000,-2.405466706,3.192013576,39.610082274,1.548395098,-0.068999988,160.000000000
16,8717.859000,-2.405466706,6.642013713,39.610082274,0.042395085,-0.101999988,160.000000000
1,5427.480000,0.567113462,14.271836575,34.708723298,-3.581802489,-1.173601854,160.000000000
2,5432.455000,-0.279812586,14.271836575,34.407022265,-3.374802487,-0.933601852,160.000000000
3,5446.291000,-0.301700107,7.033139132,34.874338525,-2.714802482,0.327000016,160.000000000
4,5449.154000,-0.801672527,7.033139132,35.496182976,-1.691802473,0.312000016,160.000000000
5,5452.979000,0.420920056,7.074407860,36.030374485,0.483197546,0.063000014,160.000000000
6,5455.913000,0.759123428,7.088113704,35.501488421,1.485197555,0.087000014,160.000000000
7,5459.483000,1.205780123,8.024013104,35.539815341,1.485197555,0.087000014,160.000000000
8,5460.309000,1.205780123,8.549013124,35.539815341,1.485197555,0.087000014,160.000000000
9,5461.114000,1.205780123,9.224013151,35.539815341,1.485197555,0.087000014,160.000000000
10,5461.701000,1.205780123,9.899013178,35.539815341,1.485197555,0.087000014,160.000000000
11,5462.219000,1.205780123,10.349013196,35.539815341,1.485197555,0.087000014,160.000000000
12,5462.766000,1.205780123,11.024013223,35.539815341,1.485197555,0.087000014,160.000000000
13,5463.186000,1.205780123,11.399013238,35.539815341,1.485197555,0.087000014,160.000000000
14,5463.603000,1.205780123,11.699013250,35.539815341,1.485197555,0.087000014,160.000000000
15,5464.197000,1.205780123,11.999013262,35.539815341,1.485197555,0.087000014,160.000000000
16,5464.808000,1.205780123,12.374013276,35.539815341,1.485197555,0.087000014,160.000000000
17,5471.601000,-0.116519771,8.878992621,36.614036518,-0.170802459,-0.542999992,160.000000000
18,5472.542000,-0.579308605,8.685227566,36.208411529,-0.170802459,-0.542999992,160.000000000
19,5475.178000,-1.001761953,8.828229860,35.273606863,-1.643802472,-0.434999991,160.000000000
20,5477.983000,0.377434687,8.468312137,34.821535963,-3.854802491,-0.326999990,160.000000000
21,5478.839000,0.377434687,9.218312167,34.821535963,-3.854802491,-0.326999990,160.000000000
22,5479.592000,0.377434687,10.118312202,34.821535963,-3.854802491,-0.326999990,160.000000000
23,5479.937000,0.377434687,10.118312202,34.821535963,-3.854802491,-0.326999990,160.000000000
24,5481.202000,0.547594475,10.943312235,34.968745510,-3.854802491,-0.326999990,160.000000000
